latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.88917,47.34191,305.13,1.39,1.17,2025-06-09,0009,A,63,6.1NRT,292.31,11.51,N
30.88161,47.32549,304.65,1.39,1.17,2025-06-09,0009,A,49,6.1NRT,291.04,10.36,N
30.87906,47.33942,312.32,1.39,1.17,2025-06-09,0009,A,85,6.1NRT,290.75,19.41,N
30.39015,49.86126,310.79,2.07,1.4,2025-06-09,0009,A,81,6.1NRT,297.77,23.99,N
30.82944,47.33507,312.59,1.39,1.17,2025-06-09,0009,A,85,6.1NRT,293.29,20.74,N
30.76616,47.33411,304.74,1.4,1.17,2025-06-09,0009,A,61,6.1NRT,292.41,11.77,N
30.61251,47.32803,314.91,1.4,1.17,2025-06-09,0009,A,90,6.1NRT,297.66,19.79,N
30.56929,47.33208,306.7,1.41,1.17,2025-06-09,0009,A,57,6.1NRT,296.54,8.99,N
30.56911,47.10921,321.21,1.37,1.16,2025-06-09,0009,A,100,6.1NRT,296.89,28.75,N
30.49825,47.32382,312.46,1.41,1.18,2025-06-09,0009,A,85,6.1NRT,297.46,17.17,N
30.4029,47.33782,311.59,1.42,1.18,2025-06-09,0009,A,83,6.1NRT,296.95,15.76,N
30.36257,47.33733,312.98,1.42,1.18,2025-06-09,0009,A,86,6.1NRT,297.05,17.65,N
30.35999,47.35153,307.65,1.42,1.18,2025-06-09,0009,A,72,6.1NRT,296.98,11.08,N
30.28315,47.36242,326.45,1.43,1.18,2025-06-09,0009,A,100,6.1NRT,297.86,38.3,N
30.27758,47.35406,307.41,1.43,1.18,2025-06-09,0009,A,71,6.1NRT,295.94,10.4,N
30.275,47.36834,308.47,1.43,1.18,2025-06-09,0009,A,75,6.1NRT,296.51,11.32,N
30.21584,47.39865,318.45,1.44,1.19,2025-06-09,0009,A,97,6.1NRT,297.9,25.11,N
30.16932,47.41731,308.64,1.45,1.19,2025-06-09,0009,A,75,6.1NRT,296.64,11.51,N
30.17326,47.41284,308.01,1.45,1.19,2025-06-09,0009,A,73,6.1NRT,296.57,11.13,N
28.9976,47.86544,318.98,1.63,1.26,2025-06-09,0009,A,98,6.1NRT,296.08,32.44,N
28.49574,49.72293,323.29,2.24,1.45,2025-06-09,0009,A,100,6.1NRT,300.58,56.78,N
28.49647,49.71592,322.74,2.24,1.45,2025-06-09,0009,A,100,6.1NRT,300.51,55.57,N
27.50489,52.65937,310.96,3.82,1.83,2025-06-09,0009,A,73,6.1NRT,297.93,57.45,N
25.53617,53.16088,309.18,4.64,1.97,2025-06-09,0011,A,65,6.1NRT,297.98,63.24,N
25.53522,53.15246,309.53,4.64,1.97,2025-06-09,0011,A,67,6.1NRT,298,65.33,N
18.38916,37.99269,328.42,1.1,1.05,2025-06-09,0013,A,100,6.1NRT,295.87,30.1,N
18.38774,38.00283,327.45,1.1,1.05,2025-06-09,0013,A,100,6.1NRT,296.97,28.59,N
18.37997,37.99132,367.12,1.1,1.05,2025-06-09,0013,A,100,6.1NRT,300.06,123.07,N
18.37855,38.00145,357.15,1.1,1.05,2025-06-09,0013,A,100,6.1NRT,300.36,90.32,N
18.37078,37.98994,305.9,1.1,1.05,2025-06-09,0013,A,66,6.1NRT,293.07,7.63,N
18.35455,38.03914,309.37,1.1,1.05,2025-06-09,0013,A,77,6.1NRT,294.91,9.77,N
18.34538,38.03776,309.21,1.1,1.05,2025-06-09,0013,A,77,6.1NRT,293.27,9.6,N
46.77326,48.12984,304.22,1,1,2025-06-09,0005,A,59,6.1NRT,291.91,7.04,N
35.72806,44.04145,316.95,1,1,2025-06-09,0009,A,94,6.1NRT,297.49,13.04,N
35.68883,43.87791,354.87,1.01,1,2025-06-09,0009,A,100,6.1NRT,296.67,73.29,N
35.68727,43.88866,315.95,1.01,1,2025-06-09,0009,A,92,6.1NRT,295.47,13.37,N
35.66525,43.96572,316.88,1,1,2025-06-09,0009,A,94,6.1NRT,296.88,13.14,N
35.63276,44.00288,308.98,1,1,2025-06-09,0009,A,76,6.1NRT,295.96,7.12,N
53.46592,59.03393,314.36,1.63,1.26,2025-06-09,0003,A,89,6.1NRT,283.05,32.81,D
35.63118,44.0136,333.79,1,1,2025-06-09,0009,A,100,6.1NRT,298.22,32.49,N
53.46085,59.05655,307.79,1.63,1.26,2025-06-09,0003,A,73,6.1NRT,282.77,23.02,D
35.52819,44.34383,319.08,1,1,2025-06-09,0009,A,98,6.1NRT,298.14,14.3,N
53.04128,52.4091,301.52,1.03,1.01,2025-06-09,0003,A,42,6.1NRT,284.58,7.06,N
35.45924,44.42188,310.25,1,1,2025-06-09,0009,A,80,6.1NRT,298.01,6.87,N
51.59571,52.91727,317.93,1.08,1.04,2025-06-09,0003,A,96,6.1NRT,284.62,21.38,N
35.3879,44.22355,304.19,1,1,2025-06-09,0009,A,59,6.1NRT,293.06,5.92,N
50.34801,57.14112,301.68,1.65,1.26,2025-06-09,0003,A,43,6.1NRT,283.8,16.66,N
